"Find companies","legal_name","Normalize Company Name","company_name","Description","Primary Industry","Size","Type","hq_location","Country","domain","LinkedIn URL","Exports Status","Perplexity AI","Update People Search (Find people Table) - 2025-07-23T00:23:14.108Z","Update People Search (Find people Table) - 2025-07-23T05:01:32.416Z","Update People Search (Find people Table) - 2025-07-25T07:31:30.042Z"
,"AIRCO","✅ AIRCO","AIRCO","AIRCO is a world leader in carbon conversion technology, paving the way to global energy independence and security by transforming CO₂ into a valuable resource. Its proprietary AIRMADE Technology is an adaptable platform that allows any industry to efficiently produce fully formulated synthetic fuels from captured CO₂ and hydrogen.

The company has commercial partnerships with airlines, including JetBlue and Virgin Atlantic, and has been awarded multiple government contracts, including with NASA and the United States Department of Defense’s Defense Innovation Unit. The company has received industry recognition through awards such as Time Best Inventions, Inc. Best in Business, Fast Company World Changing Ideas, and the XPrize for Carbon Removal.

AIRCO’s accolades include winning the prestigious Green Chemistry Challenge Award from the Environmental Protection Agency in October 2023. This award is given to organizations that reinvent processes to reduce the generation of hazardous substances and byproducts. AIRCO was also recently declared a winner of the World Economic Forum UpLink Sustainable Aviation Challenge, accelerating the development of promising technology pathways that enable widespread uptake of SAF.","Chemical Manufacturing","51-200 employees","Privately Held","Brooklyn, NY","United States","aircompany.com","https://www.linkedin.com/company/theaircompany",,,,,
,"American Chemistry Council","✅ American Chemistry Council","American Chemistry Council","The American Chemistry Council (ACC) serves as a leading voice for the U.S. chemical industry—a $633 billion enterprise that helps fuel innovation, support manufacturing, and contribute to long-term economic growth.

Through science-based advocacy, policy engagement, and collaboration across the public and private sectors, ACC works to represent the business of chemistry as a powerful force for progress in national competitiveness, infrastructure, and public health.

The business of chemistry is positioned to deliver real-world impact by:

• Supporting more than 554,000 skilled, good-paying American jobs.

• Enhancing safety through dedicated investment in research and product innovation.

• Providing solutions to improve lives.

As one of the nation’s most established trade associations in the chemical sector, ACC remains committed to responsible leadership, safety through programs like Responsible Care, regulatory clarity, and public-private collaboration that can support long-term industry advancement.","Chemical Manufacturing","51-200 employees","Non Profit","Washington, DC","United States","americanchemistry.com","https://www.linkedin.com/company/american-chemistry-council",,,,,
,"Spectrum Chemical Mfg. Corp.","✅ Spectrum Chemical Mfg. Corp.","Spectrum Chemical Mfg. Corp.","Spectrum Chemical Mfg. Corp. manufactures and distributes fine chemicals and laboratory products with quality and delivery you can count on every time. The Company’s major emphasis is on USP, NF, FCC, BP, EP, JP and ACS grade products, active pharmaceutical ingredients and controlled substances, excipients, dietary supplements, cosmetic ingredients, biochemicals, pre-made solutions, and a complete line of high-purity solvents for critical analytical applications.  These products are available in laboratory research, scale-up and production quantities.  Spectrum also provides US-based custom synthesis and contract manufacturing capabilities, including the custom synthesis of new chemical entities (NCE’s) and commercial cGMP manufacture of active pharmaceutical ingredients, DEA Controlled Substances and their chemical intermediates.

Spectrum also distributes laboratory supplies and equipment items featuring PerkinElmer’s complete line of consumables for GC, HPLC, IR, UV/VIS, AA, ICP, mass spectrometry and thermal analysis instrumentation. Combined with additional products from over 250 manufacturers of labware, consumables, lab equipment and appliances, Spectrum is truly a one-stop shopping destination with over 100,000 chemicals and lab equipment & consumable items available.","Chemical Manufacturing","201-500 employees","Privately Held","New Brunswick, NJ","United States","spectrumchemical.com","https://www.linkedin.com/company/spectrum-chemical",,,,,
,"Takasago International Corp. (USA)","✅ Takasago International Corp.","Takasago International Corp.","Takasago is a leading company in the flavor and fragrance industry. Takasago International Corporation was established in Japan in 1920. For 100 years, Takasago has developed flavors and fragrances for some of the world’s most successful manufacturers of foods, beverages, fine fragrances, home, and personal care products.

Nowadays, Takasago maintains offices, production sites, and R&D centers in 27 countries and regions. Through our network of global research, production, creativity, and marketing, we develop products tailored to the needs of individual markets. By utilizing our technologies and our global network, we will continue developing high-quality and innovative products that contribute to cultural and social progress.","Chemical Manufacturing","51-200 employees","Public Company","Rockleigh, NJ","United States","takasago.com","https://www.linkedin.com/company/takasago-international-corp-usa",,,,,
,"Spartan Chemical Company","✅ Spartan Chemical","Spartan Chemical","Your world is busy enough, that’s why at Spartan Chemical Company we make clean simple.  A recognized leader in the formulation and manufacture of sustainable cleaning and sanitation solutions for the industrial and institutional market since 1956, Spartan proactively provides services, chemicals, and system solutions in a cost effective manner.  Spartan is proud to market and distribute its products and solutions to building service contractor, education, healthcare, food service and processing, lodging/hospitality, and industrial markets.

Spartan Chemical Company, Inc. is a manufacturer of Chemical Specialty Maintenance Products and Industrial Degreasers committed to enhancing its strong leadership position in the industry through substantial investment of time, money and resources. We have greatly expanded physical production capabilities, as well as committed vast capital to research and development. Advanced I.T. capabilities teamed with aggressive marketing programs reinforce Spartan's ultimate goal: to lead the industry as one who not only listens and responds to current customer needs, but anticipates and formulates Environment and User friendly programs, systems and products that assist customers in handling the ever changing paradigms of environmental sanitation.","Chemical Manufacturing","201-500 employees","Privately Held","Maumee, OH","United States","spartanchemical.com","https://www.linkedin.com/company/spartan-chemical-company",,,,,
,"Microban International","✅ Microban International","Microban International","WHAT WOULD YOU DO MORE OF IF YOU COULD WORRY LESS?

Microban International, Ltd. is the world's leading innovator in antimicrobial, odor control, and surface modification technologies. Added at the stage of manufacture or applied topically, our proactive systems protect products against degrading microbial growth. 

With combined expertise spanning more than two centuries, Microban's skillful team of microbiologists, chemists, and polymer engineers continue to drive creative solutions that address problems before they start. Our proven technologies are successfully integrated into a range of materials, offering enhanced product performance and a distinguishable competitive advantage. 

Today, Microban has partnerships with 300+ companies across the globe. Our brand is widely recognized as a valuable Trustmark and is proudly featured on more than 1,000 products in over 30 countries.

Headquartered in North Carolina with operations in North America, Europe, and the Asia Pacific, Microban has a comprehensive and regulatory-compliant solution for every market. We also have extensive logistics capabilities, enabling us to efficiently serve customers worldwide.

In July 2021, Microban International announced that we were bringing together the Microban and Ultra-Fresh brands and technologies under a single umbrella. Following the initial acquisition of Thomson Research Associates in 2016, Microban International has now completely harmonized the two organizations, operating as a single company under the Microban International name. By consolidating our services and combining over 100 years of collective industry experience, Microban International can better serve our customers worldwide.

For more information on how your product can benefit from protection that lives on, visit www.microban.com today.","Chemical Manufacturing","51-200 employees","Privately Held","Huntersville, NC","United States","microban.com","https://www.linkedin.com/company/microban-international",,,,,
,"Hydrite","✅ Hydrite","Hydrite","At Hydrite we are family driven, financially strong, and looking for problem solvers to join our growing team.

 What we do:

Hydrite is one of the largest independent providers of chemicals and related services in the United States. In other words: we make and supply chemistries that make your food and beverages safer and more flavorful, your water cleaner, your manufacturing line more efficient, and your crops healthier.

 How Hydrite stands out:

-34th Annual Winner of the Wisconsin Manufacturer of the Year
-Seven-time winner of the Top Workplaces Award
-Gold designation as a Well Workplace award recipient from WELCOA
-No. 10 on the 12th Annual ICIS Top 100 Chemical Distributors List
-Ranked on the Deloitte Wisconsin 75 list 17 times
-Record-breaking safety performance
-Privately-held, family-owned company for 95+ years

 What employees say about Hydrite:

“The owners truly care about the employees and their families, despite significant growth. This type of environment is becoming more rare. I feel blessed to be part of the success of the organization.”
“Strong family values and great benefits.”
“Everyone cares about everyone else, from the lowest to highest positions in the company.”

 How Hydrite gives back:

Hydrite has a long history of supporting the communities in which we operate through charitable giving. Our culture fosters and facilitates community engagement by our people in both their personal and professional capacities. This includes our Hydrite Helps community engagement program, which has driven thousands of volunteer time and major financial support to local nonprofits in the areas of children’s needs & development, education, environment, and local needs. More on how we give back: https://www.hydrite.com/Community-Giving.htm

We’d love to have you join the team! Learn more about working for Hydrite: https://www.hydrite.com/careers.htm","Chemical Manufacturing","501-1,000 employees","Privately Held","Brookfield, Wisconsin","United States","hydrite.com","https://www.linkedin.com/company/hydrite-chemical-co-",,,,,
,"Restek Corporation","✅ Restek","Restek","Founded in 1985, Restek is a leading developer and manufacturer of chromatography columns, sample preparation products, reference standards, and instrument accessories. We work with analysts around the world, providing them with tools to monitor the quality of air, water, soil, foods, botanicals, pharmaceuticals, and petrochemical products.

GC Columns: General-purpose and specialty stationary phases on highly inert Rxi fused silica or unbreakable MXT stainless steel; WCOT or PLOT columns, packed or micropacked columns, and more.

LC Columns: Force, Raptor, Roc, and other silica supports for HPLC and UHPLC analytical and prep columns.

GC and LC Accessories: Tools, maintenance supplies, and instrument replacement parts that meet or exceed original equipment manufacturers’ performance: lab-proven and available for any instrument.

Reference Standards: Over 1500 stock formulations; both stock and custom certified reference materials (CRMs) are manufactured and QC-tested in ISO-accredited labs.

Air Sampling: Canisters featuring RAVE+ valves, gas calibration standards, gas sampling bags, personal air samplers, thermal desorption (TD) tubes, and more; Siltek and Sulfinert treatments for unsurpassed inertness.

Sample Preparation: Resprep solid phase extraction (SPE) and protein precipitation (PPT), Revive in-line sample preparation (ILSP), Q-sep QuEChERS, solid phase microextraction (SPME), ASE extraction, sample filtration, vials, syringes, and more.

Restek is an independent, 100% employee-owned company with a strong corporate culture. We are committed to providing exceptional “Plus 1” customer service that exceeds your expectations.

Our customers’ work makes the world a safer and healthier place, and we are excited to help you make a difference. Contact your local Restek representative today at www.restek.com/contact-us","Chemical Manufacturing","201-500 employees","Privately Held","Bellefonte, PA","United States","restek.com","https://www.linkedin.com/company/restek-corporation",,,,,
,"Monolith","✅ Monolith","Monolith","Monolith pioneers sustainable US manufacturing via pyrolysis, producing low-emission carbon black and hydrogen.","Chemical Manufacturing","51-200 employees","Privately Held","Lincoln, NE","United States","monolith-corp.com","https://www.linkedin.com/company/monolith-corp",,,,,
,"Cosmo International Fragrances","✅ Cosmo International Fragrances","Cosmo International Fragrances","Cosmo International Fragrances is a privately owned company that has been in operation for over 40 years.  We work with well-established and indie brands globally and manufacture fragrance oils for fine fragrance, personal care, home, hair care and household products.  With production plants, creative centers and R&D sites in the US, Europe, Asia and Middle East, we bridge the gap between fragrance creation, consumer needs, and emerging innovations.

People, Parfum, Purpose","Chemical Manufacturing","201-500 employees","Privately Held","Fort Lauderdale","United States","cosmo-fragrances.com","https://www.linkedin.com/company/cosmo-international-fragrances-sa",,,,,
,"Gulbrandsen","✅ Gulbrandsen","Gulbrandsen","Gulbrandsen is a global specialty chemical company headquartered in Orangeburg, SC with 6 facilities worldwide. Gulbrandsen takes pride in being a leader in innovative chemistry and technologies.  We produce chemical catalysts and intermediates that are used in a wide variety of applications.","Chemical Manufacturing","501-1,000 employees","Privately Held","Orangeburg, South Carolina","United States","gulbrandsen.com","https://www.linkedin.com/company/gulbrandsen",,,,,
,"Infinium","✅ Infinium","Infinium","Infinium is a leading provider of gas conversion solutions and developer of eFuels projects. Its offerings include ultra-low carbon synthetic eFuels, technology enabling monetization of flare gas and RNG, and patented technology designed to support the rapidly evolving energy industry. Infinium is a company of “firsts”—the first to produce commercial volumes of power-to-liquid clean eFuels; the first to develop and deploy modular gas conversion technology; and the only clean fuels innovator offering end-to-end solutions to customers at every step in their energy journey. Industry leaders including Amazon, American Airlines, Borealis and IAG are customers of Infinium. Learn more at www.infiniumco.com.

Interested in working for Infinium? View our open jobs and apply at https://www.linkedin.com/company/infiniumco/jobs/.","Chemical Manufacturing","51-200 employees","Privately Held","Sacramento, CA","United States","infiniumco.com","https://www.linkedin.com/company/infiniumco",,,,,
,"TERPHANE","✅ TERPHANE","TERPHANE","TERPHANE is the Leader in the Latin American Market for bioriented polyester films (BOPET). Having a Global presence, and over 45 years of experience and tradition in developing unique products for the flexible packaging industry. Terphane stands at the forefront of development, innovation, complex solutions, and quality. Thus creating superior value for its customers in everything that it does.","Chemical Manufacturing","201-500 employees","Privately Held","Bloomfield, New York","United States","terphane.com","https://www.linkedin.com/company/terphane",,,,,
,"Daikin America, Inc","✅ Daikin America","Daikin America","Daikin has been a world leader in the development, manufacture and sales of fluoropolymers and chemistry since 1924 . Headquartered in Osaka, Japan, Daikin is renowned for innovation, quality and commitment. As the world changes, Daikin is meeting the challenges with technology that makes a difference. We have in the forefront of the fluorocarbon industry is not just constant innovation in the products we develop, but the service and support behind them.

Daikin’s fluoropolymers and chemicals, with their wide range of unique properties and Daikin’s products area ideally suited for use in aerospace, architecture, automotive, consumer cookware, energy storage, filtration, home goods, industry, medical, nonwovens, optics & displays, paper & packaging, oil & gas, renewable energy, semiconductor, textile & fabric treatments and wire & cable.","Chemical Manufacturing","201-500 employees","Public Company","Orangeburg, NY","United States","daikin-america.com","https://www.linkedin.com/company/daikin-america",,,,,
,"BayoTech Hydrogen","✅ BayoTech Hydrogen","BayoTech Hydrogen","BayoTech is committed to addressing the global need for reliable, cost-effective and low-carbon hydrogen. Our modular, scalable, and rapidly deployable hydrogen generation, transport, storage and fueling solutions make hydrogen easy. When paired with renewable natural gas or carbon capture, BayoTech offers the most cost-effective green hydrogen available today.","Chemical Manufacturing","51-200 employees","Privately Held","Albuquerque, NM","United States","bayotech.us","https://www.linkedin.com/company/bayotech",,,,,
,"Actylis","✅ Actylis","Actylis","Actylis is a leading manufacturer and supplier of critical raw materials and performance ingredients serving the Life Sciences, Specialty Chemicals, and Agriscience industries.

We offer standard and custom ingredients through our rapidly growing portfolio of GMP and non-GMP facilities worldwide, and further choice through our strong sourcing hub network. This unique hybrid option blending manufacturing and global sourcing, combined with more than 75 years of sourcing and distribution experience makes Actylis the Partner of Choice.","Chemical Raw Materials Manufacturing","501-1,000 employees","Privately Held","Port Washington, New York","United States","actylis.com","https://www.linkedin.com/company/actylis",,,,,
,"American Vanguard","✅ American Vanguard","American Vanguard","American Vanguard Corporation is a diversified specialty and agricultural products company that develops, manufactures, and markets solutions for crop protection and nutrition, turf and ornamentals management, commercial and consumer pest control. Over the past 20 years, through product and business acquisitions, the Company has expanded its operations into 19 countries and now has over 1,000 product registrations in 56 nations, worldwide.","Chemical Manufacturing","501-1,000 employees","Public Company","Newport Beach, California","United States","amvac.com","https://www.linkedin.com/company/amvac-american-vanguard",,,,,
,"FFS - a Lucta Brand","✅ FFS","FFS","Flavor & Fragrance Specialties is now a Lucta brand focusing on flavors for coffee & specialty beverages. As pioneers in the dynamic flavored coffee market, we’ve spent the last 40 years partnering with brands
to ensure their coffee products satisfy ever-changing consumer expectations.

Our teams focus on key beverage segments and passionately partner with companies to leverage the power of taste to make their products irresistible to consumers.","Chemical Manufacturing","51-200 employees","Privately Held","Mahwah, NJ","United States","ffs.com","https://www.linkedin.com/company/flavor-&-fragrance-specialties",,,,,
,"PVS Chemicals","✅ PVS Chemicals","PVS Chemicals","PVS Chemicals enables our world through the safe and reliable delivery of chemistry, either created by us or sourced from partners.
 
Family owned since 1945, the PVS team continues to deliver sustainable solutions for the daily lives of our customers, suppliers and communities. We're Headquartered in Detroit, Michigan and we have manufacturing plants and distribution facilities located throughout North America, Europe, and Asia

PVS is recognized for its ability to deliver a diversified chemical product line with solid experience in
manufacturing and sourcing to support daily needs and a sustainable future.","Chemical Manufacturing","501-1,000 employees","Privately Held","Detroit, MI","United States","pvschemicals.com","https://www.linkedin.com/company/pvschemicals",,,,,
,"Pilot Chemical Company","✅ Pilot Chemical","Pilot Chemical","Pilot Chemical Company is a privately owned and independent global specialty chemical manufacturer providing high-quality products and services to the household, industrial, and institutional (HI&I); personal care; metalworking and lubricants; oilfield; and emulsion polymerization industries. Its proprietary core technologies involve alkylation, sulfonation, sulfation and a number of other specialty operations, including the production of biocides and cGMP products. Pilot, an industry leader in chemical innovation and safety, owns the most state-of-the-art continuous sulfation process in North America, is a leader in quaternary ammonium compounds, and is the world’s largest manufacturer of disulfonates. Pilot is certified under both ISO 9001:2015 and the American Chemistry Council’s Responsible Care program and holds a silver-medal rating with EcoVadis for sustainability. Pilot is headquartered in Cincinnati, Ohio, with additional sites located in Ohio, Texas, New Jersey, and Mexico.

Contact Pilot Chemical by emailing: pilot@pilotchemical.com or call 1-800-70-PILOT (74568)","Chemical Manufacturing","201-500 employees","Privately Held","West Chester, Ohio","United States","pilotchemical.com","https://www.linkedin.com/company/pilot-chemical-company",,,,,
,"Piedmont Lithium Inc.","✅ Piedmont Lithium","Piedmont Lithium","Piedmont Lithium is developing a world-class integrated lithium business in the United States, enabling the transition to a net zero world and the creation of a clean energy economy in America. Our location in the renowned Carolina Tin Spodumene Belt of North Carolina, the cradle of the lithium industry, positions us to be one of the world’s lowest cost producers of lithium hydroxide, and the most strategically located to serve the fast-growing US electric vehicle supply chain. The unique geographic proximity of our resources, production operations and prospective customers, places us on the path to be the most sustainable producer of lithium hydroxide in the world and should allow Piedmont to play a pivotal role in supporting America’s move toward decarbonization and the electrification of transportation and energy storage. For more information, www.piedmontlithium.com.","Chemical Manufacturing","51-200 employees","Public Company","Belmont, North Carolina","United States","piedmontlithium.com","https://www.linkedin.com/company/piedmont-lithium-inc",,,,,
,"FEYNLAB Inc.","✅ FEYNLAB","FEYNLAB","Feynlab develops & manufactures a family of products for enhancing and protecting automotive, marine, aircraft, and industrial finishes. These products allow vehicles and surfaces more: UV protection, chemical resistance, enhanced color, a glossier finish, simplicity of cleaning, and the ability to stay cleaner – longer.

FEYNLAB’s company focus and namesake are rooted in the work of Richard 
Feynman who was the first to study the “very small” in order to record data and create “nano bots.”","Chemical Manufacturing","51-200 employees","Privately Held","Lombard, Illinois","United States","feynlab.com","https://www.linkedin.com/company/feynlab",,,,,
,"Cemvita Inc.","✅ Cemvita","Cemvita","At Cemvita, we are on a mission to make industrial cheaper and faster, at scale. With a strong foundation in synthetic biology, green chemistry, and bio-manufacturing, we develop carbon-neutral, bio-based oils that replace petroleum-derived products in critical industries such as biofuels, agriculture, and personal care.

Our team combines deep technical expertise with a clear vision for a sustainable future. From ideation to large-scale commercialization, we help companies reduce their environmental footprint while maintaining product performance and profitability. Our industry-leading technologies enable businesses to achieve their sustainability goals while tapping into the growing demand for greener alternatives in the marketplace.
Whether it’s creating low-carbon oils for industrial applications, or sustainable biofertilizer, our solutions provide real-world impact. We are committed to shaping a more sustainable tomorrow—today.

For more info please contact: info@cemvita.com","Chemical Manufacturing","51-200 employees","Privately Held","Houston, Texas","United States","cemvita.com","https://www.linkedin.com/company/cemvita-inc",,,,,
,"Tessenderlo Kerley, Inc.","✅ Tessenderlo Kerley","Tessenderlo Kerley","With headquarters in Phoenix, Arizona, Tessenderlo Kerley, Inc. produces and markets specialty chemical solutions, including fertilizers, crop protection chemicals and process chemicals and services to diverse markets around the world. Tessenderlo Kerley operates 12 manufacturing plants in North America in addition to an extensive terminal network. In 2017, TKI celebrated 70 Years of Growth.

Tessenderlo Group is a diversified industrial group that focuses on agriculture, valorizing bio-residuals and providing industrial solutions. Founded and headquartered in 1919 in Belgium.","Chemical Manufacturing","501-1,000 employees","Public Company","Phoenix, AZ","United States","tkinet.com","https://www.linkedin.com/company/tessenderlo-kerley"
